电影原名,电影别名,导演,主演,时间,国家,类型,评价人数,电影图片URL
肖申克的救赎,月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /..., 1994,美国,犯罪 剧情,3175575人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp
霸王别姬,再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha..., 1993,中国大陆 中国香港,剧情 爱情 同性,2345167人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.webp
泰坦尼克号,铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo..., 1997,美国 墨西哥,剧情 爱情 灾难,2409652人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.webp
阿甘正传,福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ..., 1994,美国,剧情 爱情,2358305人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.webp
千与千寻,神隐少女(台)  /  千与千寻的神隐,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy..., 2001,日本,剧情 动画 奇幻,2452607人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.webp
美丽人生,一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni..., 1997,意大利,剧情 喜剧 爱情 战争,1438039人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp
这个杀手不太冷,终极追杀令(台)  /  杀手莱昂,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ..., 1994,法国 美国,剧情 动作 犯罪,2487200人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.webp
星际穿越,星际启示录(港)  /  星际效应(台),克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc..., 2014,美国 英国 加拿大,剧情 科幻 冒险,2086721人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.webp
盗梦空间,潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le..., 2010,美国 英国,剧情 科幻 悬疑 冒险,2253897人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.webp
楚门的世界,真人Show(港)  /  真人戏,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..., 1998,美国,剧情 科幻,1937353人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.webp
辛德勒的名单,舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson..., 1993,美国,剧情 历史 战争,1213437人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.webp
忠犬八公的故事,秋田犬八千(港)  /  忠犬小八(台),莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger..., 2009,美国 英国,剧情,1502090人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.webp
海上钢琴师,声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ..., 1998,意大利,剧情 音乐,1827015人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.webp
三傻大闹宝莱坞,三个傻瓜(台)  /  作死不离3兄弟(港),拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡..., 2009,印度,剧情 喜剧 爱情 歌舞,2017059人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.webp
疯狂动物城,优兽大都会(港)  /  动物方城市(台),拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·..., 2016,美国,喜剧 动画 冒险,2172270人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2323981221.webp
放牛班的春天,歌声伴我心(港)  /  唱诗班男孩,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼..., 2004,法国 瑞士 德国,剧情 音乐,1430772人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.webp
机器人总动员,太空奇兵·威E(港)  /  瓦力(台),安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽..., 2008,美国,科幻 动画 冒险,1438998人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.webp
无间道,Infernal Affairs  /  Mou gaan dou,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W..., 2002,中国香港,剧情 犯罪 惊悚,1511224人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.webp
控方证人,雄才伟略  /  情妇,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·..., 1957,美国,剧情 犯罪 悬疑 惊悚,671655人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2911817201.webp
大话西游之大圣娶亲,西游记完结篇仙履奇缘  /  齐天大圣西游记,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,1661984人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.webp
熔炉,无声呐喊(港)  /  漩涡,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /..., 2011,韩国,剧情,1009510人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.webp
触不可及,闪亮人生(港)  /  逆转人生(台),奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主..., 2011,法国,剧情 喜剧,1248328人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.webp
教父,Mario Puzo's The Godfather,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M..., 1972,美国,剧情 犯罪,1067136人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.webp
寻梦环游记,玩转极乐园(港)  /  可可夜总会(台),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,..., 2017,美国,喜剧 动画 奇幻 音乐,1894201人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.webp
当幸福来敲门,寻找快乐的故事(港)  /  追求快乐,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ..., 2006,美国,剧情 传记 家庭,1642711人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.webp
末代皇帝,末代皇帝溥仪(港)  /  L'ultimo imperatore,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈..., 1987,英国 意大利 中国大陆 法国,剧情 传记 历史,991333人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp
哈利·波特与魔法石,哈利波特1：神秘的魔法石(港 / 台) ,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint, 2001,美国 英国,奇幻 冒险,1364274人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.webp
龙猫,邻居托托罗  /  邻家的豆豆龙,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch..., 1988,日本,动画 奇幻 冒险,1372560人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.webp
怦然心动,萌动青春  /  青春萌动,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡..., 2010,美国,剧情 喜剧 爱情,1992471人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.webp
活着,人生  /  Lifetimes,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang, 1994,中国大陆 中国香港,剧情 历史 家庭,938132人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.webp
蝙蝠侠：黑暗骑士,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ..., 2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,1158225人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.webp
指环王3：王者无敌,魔戒三部曲：王者再临(台 / 港) ,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩..., 2003,美国 新西兰,剧情 动作 奇幻 冒险,881436人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.webp
我不是药神,中国药神  /  印度药神,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周..., 2018,中国大陆,剧情 喜剧,2288607人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.webp
乱世佳人,飘,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费..., 1939,美国,剧情 历史 爱情 战争,763860人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.webp
飞屋环游记,冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德..., 2009,美国,剧情 喜剧 动画 冒险,1450843人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.webp
让子弹飞,让子弹飞一会儿  /  火烧云,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..., 2010,中国大陆 中国香港,剧情 喜剧 动作 西部,1863928人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp
哈尔的移动城堡,哈尔移动城堡(港)  /  霍尔的移动城堡(台),宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓..., 2004,日本,爱情 动画 奇幻 冒险,1237004人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.webp
素媛,许愿  /  希望：为爱重生(台),李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..., 2013,韩国,剧情,753638人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.webp
十二怒汉,12怒汉  /  十二怒汉,Sidney Lumet,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..., 1957,美国,剧情,554997人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.webp
海蒂和爷爷,飘零燕(港)  /  海蒂,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /..., 2015,德国 瑞士,剧情 冒险 家庭,735757人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.webp
猫鼠游戏,逍遥法外  /  捉智双雄(港),史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L..., 2002,美国 加拿大,传记 犯罪 剧情,1160515人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.webp
天空之城,天空之城拉普他  /  空中城堡拉普他,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke..., 1986,日本,动画 奇幻 冒险,976991人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.webp
摔跤吧！爸爸,我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛..., 2016,印度,剧情 传记 运动 家庭,1697565人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.webp
鬼子来了,Devils on the Doorstep,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..., 2000,中国大陆,剧情 喜剧,690824人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.webp
少年派的奇幻漂流,少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan..., 2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,1452582人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.webp
钢琴家,钢琴战曲(港)  /  战地琴人(台),罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod..., 2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,722196人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.webp
指环王2：双塔奇兵,魔戒二部曲：双城奇谋  /  指环王II：双塔,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩..., 2002,美国 新西兰,剧情 动作 奇幻 冒险,829250人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.webp
大话西游之月光宝盒,西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng..., 1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,1325230人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.webp
死亡诗社,暴雨骄阳(港)  /  春风化雨(台),彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯..., 1989,美国,剧情,837749人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.webp
何以为家,迦百农  /  星仔打官司(港),娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ..., 2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,1134686人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.webp
闻香识女人,女人香  /  女人的芳香,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯..., 1992,美国,剧情,989518人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.webp
绿皮书,绿簿旅友(港)  /  幸福绿皮书(台),彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /..., 2018,美国 中国大陆,剧情 喜剧 传记 音乐,1827209人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.webp
大闹天宫,大闹天宫 上下集  /  The Monkey King,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu..., 1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装,490965人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp
黑客帝国,22世纪杀人网络(港)  /  廿二世纪杀人网络(港),安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主..., 1999,美国,动作 科幻,918522人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.webp
指环王1：护戒使者,指环王1：魔戒再现  /  指环王I：护戒使者,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩..., 2001,新西兰 美国,剧情 动作 奇幻 冒险,929359人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.webp
罗马假日,金枝玉叶(港)  /  罗马假期(台),威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格..., 1953,美国,喜剧 剧情 爱情,1021151人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.webp
教父2,教父续集(港)  /  教父II,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A..., 1974,美国,剧情 犯罪,614573人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.webp
狮子王,狮子王3D,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马..., 1994,美国,动画 冒险 歌舞,930206人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.webp
天堂电影院,星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp..., 1988,意大利 法国,剧情 爱情,724027人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.webp
饮食男女,Eat Drink Man Woman,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴..., 1994,中国台湾 美国,剧情 家庭,694501人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.webp
辩护人,逆权大状(港)  /  正义辩护人(台),杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae..., 2013,韩国,剧情,642635人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.webp
搏击俱乐部,搏击会(港)  /  斗阵俱乐部(台),大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉..., 1999,美国,剧情 动作 悬疑 惊悚,934639人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.webp
本杰明·巴顿奇事,奇幻逆缘(港)  /  班杰明的奇幻旅程(台),大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ..., 2008,美国,剧情 爱情 奇幻,1071294人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.webp
美丽心灵,有你终生美丽(港)  /  美丽境界(台),朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈..., 2001,美国,传记 剧情,833360人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.webp
穿条纹睡衣的男孩,穿条纹衣服的男孩  /  穿条纹衣的男孩,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ..., 2008,英国 美国,剧情 战争,622980人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.webp
情书,When I Close My Eyes  /  Letters of Love,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets..., 1995,日本,剧情 爱情,1275172人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.webp
窃听风暴,窃听者(港)  /  他人的生活,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,&amp;n..., 2006,德国,剧情 悬疑,616113人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp
两杆大烟枪,够姜四小强(港)  /  两根枪管(台),盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特..., 1998,英国,剧情 喜剧 犯罪,655481人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp
哈利·波特与死亡圣器(下),哈利波特7：死神的圣物2(港 / 台) ,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe..., 2011,美国 英国,奇幻 冒险,937573人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.webp
音乐之声,仙乐飘飘处处闻(港)  /  真善美(台),罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克..., 1965,美国,剧情 传记 爱情 歌舞,662960人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp
西西里的美丽传说,真爱伴我行(台)  /  玛莲娜,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ..., 2000,意大利 美国,剧情 战争 情色,1065037人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp
功夫,功夫3D  /  Kung Fu Hustle,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ..., 2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,1284068人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp
阿凡达,,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ..., 2009,美国,动作 科幻 冒险,1533215人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.webp
哈利·波特与阿兹卡班的囚徒,哈利波特3：阿兹卡班的逃犯(港 / 台) ,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad..., 2004,英国 美国,奇幻 冒险,854866人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.webp
看不见的客人,死无对证(港)  /  布局(台),奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿..., 2016,西班牙,剧情 犯罪 悬疑 惊悚,1398321人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp
拯救大兵瑞恩,雷霆救兵(港)  /  抢救雷恩大兵(台),史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks..., 1998,美国,剧情 战争,703800人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.webp
沉默的羔羊,沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安..., 1991,美国,剧情 犯罪 惊悚,983872人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.webp
小鞋子,天堂的孩子  /  小童鞋,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma..., 1997,伊朗,剧情 儿童 家庭,449688人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.webp
飞越疯人院,飞越杜鹃窝(台)  /  飞越喜鹊巢,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols..., 1975,美国,剧情,588623人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.webp
布达佩斯大饭店,布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ..., 2014,美国 德国 英国,剧情 喜剧 冒险,1048746人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.webp
蝴蝶效应,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主..., 2004,美国 加拿大,剧情 悬疑 科幻 惊悚,1033250人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.webp
禁闭岛,不赦岛(港)  /  隔离岛(台),Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ..., 2010,美国,剧情 悬疑 惊悚,1078189人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.webp
致命魔术,死亡魔法(港)  /  顶尖对决(台),克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman..., 2006,英国 美国,剧情 悬疑 惊悚,938151人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.webp
心灵捕手,骄阳似我(港)  /  心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·..., 1997,美国,剧情,791919人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.webp
低俗小说,危险人物(港)  /  黑色追缉令(台),昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra..., 1994,美国,剧情 喜剧 犯罪,927261人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp
超脱,人间师格(台),托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西..., 2011,美国,剧情,695871人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.webp
哈利·波特与密室,哈利波特2：消失的密室(港 / 台) ,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛..., 2002,英国 美国,奇幻 冒险,880582人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.webp
摩登时代,The Masses  /  Les Temps modernes,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ..., 1936,美国,剧情 喜剧 爱情,334636人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp
喜剧之王,King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch..., 1999,中国香港,喜剧 剧情 爱情,1061541人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp
杀人回忆,谋杀回忆  /  杀手回忆录,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun..., 2003,韩国,剧情 动作 犯罪 悬疑 惊悚,807129人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.webp
致命ID,杀人游戏  /  致命身份,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷..., 2003,美国,剧情 悬疑 惊悚,916466人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.webp
春光乍泄,一起快乐  /  Happy Together,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu..., 1997,中国香港 日本 韩国,剧情 爱情 同性,691806人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.webp
一一,Yi yi  /  Yi yi: A One and a Two,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai..., 2000,中国台湾 日本,剧情 爱情 家庭,471064人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.webp
海豚湾,血色海湾(台)  /  海湾,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo..., 2009,美国,纪录片,376207人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.webp
美国往事,四海兄弟(台)  /  义薄云天(港),赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ..., 1984,美国 意大利,犯罪 剧情,456667人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.webp
加勒比海盗,加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ..., 2003,美国,动作 冒险 奇幻,939929人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.webp
红辣椒,盗梦侦探(港 / 台) ,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru..., 2006,日本,动画 悬疑 科幻 惊悚,544574人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.webp
七宗罪,火线追缉令(台)  /  7宗罪,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布..., 1995,美国,剧情 犯罪 悬疑 惊悚,1026942人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.webp
唐伯虎点秋香,Flirting Scholar,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈..., 1993,中国香港,喜剧 爱情 古装,1188002人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.webp
还有明天,明天还有梦(港)  /  我们还有明天(台),宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte..., 2023,意大利,剧情 喜剧 历史,280849人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.webp
狩猎,诬网(港)  /  谎言的烙印(台),托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik..., 2012,丹麦 瑞典,剧情,449628人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.webp
幽灵公主,魔法公主  /  幽灵少女,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合..., 1997,日本,动画 奇幻 冒险,643818人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.webp
甜蜜蜜,Comrades: Almost a Love Story,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ..., 1996,中国香港,剧情 爱情,644486人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.webp
