电影原名,电影别名,导演,主演,时间,国家,类型,评价人数,电影图片URL
疯狂原始人,古鲁家族(港 / 台) ,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演..., 2013,美国,喜剧 动画 冒险,901102人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.webp
无间道2,无间道前传  /  Infernal Affairs II,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen / ..., 2003,中国香港,剧情 犯罪 惊悚,547309人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.webp
绿里奇迹,绿色奇迹(台)  /  绿色英里,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ..., 1999,美国,犯罪 剧情 奇幻 悬疑,375593人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.webp
爱在午夜降临前,情约半生(港)  /  爱在午夜希腊时(台),理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ..., 2013,美国 希腊,剧情 爱情,455750人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.webp
海街日记,海街女孩日记(港)  /  Kamakura Diary,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M..., 2015,日本,剧情 家庭,504214人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.webp
风之谷,风谷少女  /  Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y..., 1984,日本,动画 奇幻 冒险,384988人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.webp
上帝之城,无主之城(港)  /  无法无天(台),费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,&amp;nbsp..., 2002,巴西 法国,犯罪 剧情,325858人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.webp
英雄本色,A Better Tomorrow  /  Gangland Boss,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国..., 1986,中国香港,剧情 动作 犯罪,591611人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.webp
疯狂的石头,Crazy Stone,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin, 2006,中国大陆 中国香港,喜剧 犯罪,901364人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.webp
雨中曲,万花嬉春(港 / 台) ,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·..., 1952,美国,喜剧 歌舞 爱情,257880人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.webp
心迷宫,殡棺  /  The Coffin in the Mountain,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ..., 2014,中国大陆,剧情 犯罪 悬疑,594481人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.webp
2001太空漫游,2001：星际漫游  /  2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ..., 1968,英国 美国,科幻 惊悚 冒险,378249人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.webp
纵横四海,Once a Thief,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung..., 1991,中国香港,剧情 喜剧 动作 犯罪,463623人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.webp
末路狂花,塞尔玛与路易丝  /  末路狂花,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏..., 1991,美国 英国 法国,犯罪 剧情 惊悚,322369人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.webp
记忆碎片,凶心人(港)  /  记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /..., 2000,美国,犯罪 剧情 悬疑 惊悚,653243人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.webp
卢旺达饭店,卢安达饭店(台),特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥..., 2004,英国 南非 意大利 美国,剧情 传记 历史 战争,358821人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.webp
高山下的花环,卫国军魂(港)  /  Wreaths at the Foot of the Mountain,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何..., 1984(中国大陆) / 1985,中国大陆,剧情 战争,141659人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.webp
无敌破坏王,破坏王拉尔夫  /  破坏王大冒险,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉..., 2012,美国,喜剧 动画 奇幻 冒险,595708人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp
小偷家族,Shoplifters  /  Une Affaire de Famille,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky / 安藤樱 Sa..., 2018,日本,剧情 犯罪 家庭,878627人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.webp
冰川时代,冰河世纪  /  冰原历险记,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演..., 2002,美国,喜剧 动画 冒险,669518人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.webp
恐怖游轮,汪洋血迷宮(台)  /  轮回三角,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ..., 2009,英国 澳大利亚,剧情 悬疑 惊悚,959504人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.webp
东京教父,Tokyo Godfathers,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume..., 2003,日本,剧情 喜剧 动画,276471人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.webp
牯岭街少年杀人事件,A Brighter Summer Day,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张..., 1991,中国台湾,剧情 犯罪,351909人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.webp
魔女宅急便,魔女琪琪(台)  /  小魔女限时专送,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re..., 1989,日本,动画 奇幻 冒险,509849人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.webp
岁月神偷,1969太空漫游  /  Echoes Of The Rainbow,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍..., 2010,中国香港 中国大陆,剧情 家庭,604503人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.webp
忠犬八公物语,八千公物语  /  阿八的故事,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai /..., 1987,日本,剧情,213159人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.webp
荒蛮故事,蛮荒故事  /  生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío..., 2014,阿根廷 西班牙,剧情 喜剧 犯罪,501748人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.webp
遗愿清单,玩转身前事(港)  /  一路玩到挂(台),罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根..., 2007,美国,冒险 喜剧 剧情,518551人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.webp
大佛普拉斯,The Great Buddha+,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh..., 2017,中国台湾,剧情 喜剧,533598人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp
贫民窟的百万富翁,一百万零一夜(港)  /  贫民百万富翁(台),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫..., 2008,英国,剧情 爱情,793951人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.webp
芙蓉镇,Hibiscus Town,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石..., 1987,中国大陆,剧情 爱情,176448人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575337180.webp
源代码,启动原始码(台)  /  危机解密(港),邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ..., 2011,美国 加拿大,科幻 悬疑 惊悚,903742人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.webp
疯狂的麦克斯4：狂暴之路,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞..., 2015,澳大利亚 美国,动作 科幻 冒险,601358人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.webp
你看起来好像很好吃,你看起来很好吃(台)  /  你看上去好像很好吃,藤森雅也 Masaya Fujimori,山口胜平 Kappei Yamaguchi / 爱河..., 2010,日本,剧情 动画 儿童,364404人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.webp
东邪西毒,Ashes of Time,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte..., 1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,621886人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.webp
可可西里,Kekexili: Mountain Patrol,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L..., 2004,中国大陆 中国香港,剧情 犯罪,335509人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.webp
爆裂鼓手,鼓动真我(港)  /  进击的鼓手(台),达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /..., 2014,美国,剧情 音乐,669604人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.webp
城市之光,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ..., 1931,美国,喜剧 剧情 爱情,165633人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.webp
波西米亚狂想曲,波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈..., 2018,英国 美国,剧情 传记 同性 音乐,670799人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.webp
花束般的恋爱,她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu..., 2021,日本,剧情 爱情,779158人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.webp
黑天鹅,夺命黑天鹅  /  霸王别鹅(豆友译名),达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie..., 2010,美国,剧情 惊悚,829591人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.webp
爱乐之城,星声梦里人(港)  /  乐来越爱你(台),达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /..., 2016,美国,剧情 爱情 歌舞,1057943人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.webp
青蛇,Green Snake,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ..., 1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,576925人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.webp
白日梦想家,发梦王大历险(港)  /  白日梦冒险王(台),本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·..., 2013,美国 英国,剧情 喜剧 冒险,609077人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.webp
哈利·波特与死亡圣器(上),哈利波特7：死神的圣物1(港 / 台) ,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe..., 2010,英国 美国,奇幻 冒险,670212人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.webp
机器人之梦,再见机器人(台)  /  汪汪梦里人(港),巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda / 阿..., 2023,西班牙 法国,剧情 动画 音乐,362122人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904305126.webp
终结者2：审判日,未来战士2(港)  /  魔鬼终结者2(台),詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz..., 1991,美国 法国,动作 科幻,372658人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.webp
初恋这件小事,初恋那件小事(港)  /  暗恋那点小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭..., 2010,/,/, </p>,1035156人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.webp
无耻混蛋,希魔撞正杀人狂(港)  /  恶棍特工(台),昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ..., 2009,德国 美国,剧情 犯罪,536810人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.webp
雨人,手足情未了(港)  /  手足情深,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ..., 1988,美国,剧情,434232人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.webp
新龙门客栈,New Dragon Gate Inn,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ..., 1992,中国香港 中国大陆,动作 爱情 武侠 古装,492726人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.webp
人工智能,AI人工智慧,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley..., 2001,美国 英国,剧情 科幻,488493人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.webp
